sentence_id,sentence_text,tokens,ner_tags,人名,地名,机构名
10000001_1,-简介梁左与丈夫英达梁欢，女，梁欢和梁天的妹妹，英达的现任妻子。,"['-', '简介', '梁左', '与', '丈夫', '英达', '梁欢', '，', '女', '，', '梁欢', '和', '梁天', '的', '妹妹', '，', '英达', '的', '现任', '妻子', '。']","['O', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['梁左', '梁欢', '梁天']",[],[]
10000002_1,张竹君立即出面组成开往武汉战地的红十字救伤队，黄兴扮作医疗员，徐宗汉扮成护士，随行的还有宋教仁、陈果夫等。,"['张竹君', '立即', '出面', '组成', '开', '往', '武汉', '战地', '的', '红十字', '救伤队', '，', '黄兴扮', '作', '医疗员', '，', '徐宗汉', '扮', '成', '护士', '，', '随行', '的', '还有', '宋教仁', '、', '陈果夫', '等', '。']","['S-Nh', 'O', 'O', 'O', 'O', 'O', 'S-Ns', 'O', 'O', 'O', 'O', 'O', 'S-Nh', 'O', 'O', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'O']","['张竹君', '黄兴扮', '徐宗汉', '宋教仁', '陈果夫']",['武汉'],[]
10000003_1,慕容暐以慕容垂代替慕容臧为南讨大都督，率征南将军慕容德等5万步骑抵御桓温。,"['慕容暐', '以', '慕容垂', '代替', '慕容臧', '为', '南讨', '大', '都督', '，', '率', '征南', '将军', '慕容德', '等', '5万', '步骑', '抵御', '桓温', '。']","['S-Nh', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'S-Nh', 'O']","['慕容暐', '征南', '慕容德', '桓温']",[],[]
10000004_1,与辛笛京沪唱和聽钱钟书与钱钟书是清华校友，钱钟书高辛笛两班。,"['与', '辛笛', '京', '沪', '唱', '和', '聽钱', '钟书', '与', '钱钟书', '是', '清华', '校友', '，', '钱钟书', '高', '辛笛', '两', '班', '。']","['O', 'S-Nh', 'S-Ns', 'S-Ns', 'O', 'O', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O']","['辛笛', '钟书', '钱钟书', '钱钟书']",['京沪'],[]
10000005_1,于师傅在一次京剧表演中，选了元龙（洪金宝）、元楼（元奎）、元彪、成龙、元华、元武、元泰7人担任七小福的主角。,"['于', '师傅', '在', '一', '次', '京剧', '表演', '中', '，', '选', '了', '元龙', '（', '洪金宝', '）', '、', '元楼', '（', '元奎', '）', '、', '元彪', '、', '成龙', '、', '元华', '、', '元武', '、', '元泰7', '人', '担任', '七小福', '的', '主角', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['元龙', '洪金宝', '元彪', '成龙', '元华', '元武']",[],[]
10000006_1,以范瑞娟、傅全香、陆锦花、吴小楼为主要演员的上海越剧院一团，调赴北京。,"['以', '范瑞娟', '、', '傅全香', '、', '陆锦花', '、', '吴小楼', '为', '主要', '演员', '的', '上海', '越剧院', '一', '团', '，', '调', '赴', '北京', '。']","['O', 'S-Nh', 'O', 'S-Nh', 'O', 'O', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'S-Ns', 'O', 'O', 'O', 'O', 'O', 'O', 'S-Ns', 'O']","['范瑞娟', '傅全香', '吴小楼']","['上海', '北京']",[]
10000007_1,婚后巩俐与黄和祥把家安在香港，过着普通人的平凡生活。,"['婚后', '巩', '俐', '与', '黄和祥', '把', '家', '安', '在', '香港', '，', '过', '着', '普通人', '的', '平凡', '生活', '。']","['O', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'S-Ns', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['俐', '黄和祥']",['香港'],[]
10000008_1,父亲：李云经母亲：庄碧琴弟弟：李嘉昭妹妹：李素娟配偶庄月明的原配是其表妹李嘉诚。,"['父亲', '：', '李云经', '母亲', '：', '庄碧琴', '弟弟', '：', '李嘉昭', '妹妹', '：', '李素娟', '配偶', '庄月明', '的', '原配', '是', '其', '表妹', '李嘉诚', '。']","['O', 'O', 'S-Nh', 'O', 'O', 'S-Nh', 'O', 'O', 'S-Nh', 'O', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'S-Nh', 'O']","['李云经', '庄碧琴', '李嘉昭', '李素娟', '庄月明', '李嘉诚']",[],[]
10000009_1,名士杨彪入狱后，满宠负责审问，荀彧、孔融前来求情，请求不要对杨彪用刑，满宠不肯。,"['名士', '杨彪', '入狱', '后', '，', '满宠', '负责', '审问', '，', '荀彧', '、', '孔融', '前来', '求情', '，', '请求', '不', '要', '对', '杨彪', '用刑', '，', '满宠', '不', '肯', '。']","['O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-Nh', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'O']","['杨彪', '荀彧', '孔融', '杨彪']",[],[]
10000010_1,-生平武则天时期上官婉儿是陕州陕县人，是唐高宗时宰相上官仪的孙女。,"['-', '生平', '武则天', '时期', '上', '官婉儿', '是', '陕州', '陕县人', '，', '是', '唐高宗', '时', '宰相', '上', '官仪', '的', '孙女', '。']","['O', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'S-Ns', 'O', 'O', 'O', 'S-Nh', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['武则天', '唐高宗']",['陕州'],[]
